Frame no.,ODO_D2L,frame,Time,GT_D2L,GPS_Accuracy,Difference,ROI_GT (20-60)_
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4294.png,2.875,4294,211987300,30.40539318,8,27.53039318,32
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4296.png,27.370001,4296,211987500,29.93592749,8,2.565926494,31.32
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4437.png,53.705002,4437,212001600,47.75362188,8,-5.951380124,X
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4457.png,2.415,4457,212003600,24.57751742,8,22.16251742,29.28
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4461.png,33.119999,4461,212004000,-2.154746722,8,-35.27474572,2.95
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4485.png,0.69,4485,212006400,53.6850879,8,52.9950879,X
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4557.png,0.345,4557,212013600,61.75013769,8,61.40513769,59.92
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4600.png,69.805,4600,212017900,72.36420416,8,2.559204162,X
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4605.png,21.504999,4605,212018400,10.63836055,8,-10.86663845,10.21
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\4638.png,50.485001,4638,212021700,49.49729922,8,-0.987701776,X
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\5244.png,18.17,5244,212082900,23.13637909,8,4.966379089,21.56
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\6472.png,0.23,6472,212207200,33.71109941,8,33.48109941,33.82
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\6584.png,26.565001,6584,212218400,27.48342826,8,0.918427255,26.33
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\6813.png,50.715,6813,212241300,34.04089724,4,-16.67410276,31.55
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\7018.png,50.369999,7018,212261800,48.14571801,8,-2.224280991,X
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\7888.png,50.485001,7888,212348900,16.99972067,8,-33.48528033,18.61
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\8371.png,33.695,8371,212397200,34.03726747,8,0.34226747,31.55
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\8916.png,6.44,8916,212451700,7.823244971,4,1.383244971,2.95 *
C:/Users/ll_stkapate/Desktop/A7_measurement_14.4.20/img_process\8946.png,43.240002,8946,212454700,52.53132102,4,9.291319016,X
